title,address,totalScore,categories,location
Penyetan Cok Pakuwon City Mall,"East Coast Center, Jl. Kejawanputih Mutiara X, Kejawaan Putih Tamba, Kec. Mulyorejo, Surabaya, Jawa Timur 60112, Indonesia",4.8,['Restoran'],"{'lat': -7.2762063, 'lng': 112.8058097}"
Penyetan Jhon Mudah Barokah,"MQQM+VG2, Jl. Wonorejo Timur, Penjaringan Sari, Kec. Rungkut, Surabaya, Jawa Timur 60297, Indonesia",4.3,['Restoran'],"{'lat': -7.3103713, 'lng': 112.78376}"
Penyetan Cak Thofa,"Jl. Raya Mulyosari No.86, Kalisari, Kec. Mulyorejo, Surabaya, Jawa Timur 60112, Indonesia",4.7,['Restoran Masakan Ayam'],"{'lat': -7.2636945, 'lng': 112.7960353}"
Penyetan nasi uduk cak lut,"Gebang Putih, Kec. Sukolilo, Surabaya, Jawa Timur 60117, Indonesia",4.7,"['Restoran Betawi', 'Restoran Nasi Uduk']","{'lat': -7.2836687, 'lng': 112.785528}"
Depot Penyetan Cak Herry,"Jl. Menur Pumpungan III No.81, Menur Pumpungan, Kec. Sukolilo, Surabaya, Jawa Timur 60118, Indonesia",4.8,['Restoran'],"{'lat': -7.2887861, 'lng': 112.768027}"
"penyetan 'UPIK JAYA""","Jl. Gebang Lor No.98, Gebang Putih, Kec. Sukolilo, Surabaya, Jawa Timur 60117, Indonesia",4.6,['Restoran Indonesia'],"{'lat': -7.2803729, 'lng': 112.789418}"
Penyetan Mas Brooo spesial pedas,"Jl. Semolowaru No.2, Semolowaru, Kec. Sukolilo, Surabaya, Jawa Timur 60119, Indonesia",4.4,['Rumah Makan'],"{'lat': -7.3002765, 'lng': 112.7728283}"
Mr. Waras - Nasi Uduk Nganjuk & Penyetan,"Jl. Arief Rahman Hakim no 14 Wisata Kuliner, Deles, Kec. Sukolilo, Surabaya, Jawa Timur 60111, Indonesia",5.0,['Pujasera'],"{'lat': -7.2909547, 'lng': 112.7838836}"
Penyetan Cak Kabul,"Gg. Makam No.14, Keputih, Kec. Sukolilo, Surabaya, Jawa Timur 60117, Indonesia",4.8,"['Restoran Masakan Ayam', 'Restoran Asia', 'Rumah Makan', 'Restoran Indonesia']","{'lat': -7.2904265, 'lng': 112.7837949}"
Penyetan Sambel Uleg Dhe Sri,"Jl. Mulyorejo No.16-18, Mulyorejo, Kec. Mulyorejo, Surabaya, Jawa Timur 60115, Indonesia",4.7,['Restoran Indonesia'],"{'lat': -7.2643371, 'lng': 112.7772378}"
